name,team,pay,position,year,age,height,weight,games,Hit,HR
マテオ,阪神,7500,投手,1,32,188,107,52,40,2
メッセンジャー,阪神,30000,投手,7,35,198,121,28,178,11
メンドーサ,日本ハム,20000,投手,3,32,191,111,23,135,13
モスコーソ,DeNA,13000,投手,3,32,185,91,13,88,15
益田　直也,ロッテ,8000,投手,5,26,177,80,61,53,2
岸　孝之,西武,22500,投手,10,31,180,77,19,123,8
菊池　雄星,西武,5500,投手,7,25,184,100,22,117,7
吉見　一起,中日,8900,投手,11,32,182,91,21,134,11
吉川　光夫,日本ハム,9500,投手,10,28,178,76,27,125,9
久保　康友,DeNA,12000,投手,12,36,180,81,15,102,5
金子　千尋,オリックス,50000,投手,12,32,180,77,24,143,13
黒田　博樹,広島,60000,投手,13,41,185,93,24,152,14
山井　大介,中日,12000,投手,15,38,179,82,33,60,9
山口　俊,DeNA,8000,投手,11,29,187,97,19,112,10
山口　鉄也,巨人,32000,投手,11,32,184,88,63,48,6
山﨑　康晃,DeNA,5000,投手,2,24,177,83,59,57,7
秋吉　亮,ヤクルト,6800,投手,3,27,182,73,70,50,6
十亀　剣,西武,6000,投手,5,28,183,88,21,85,3
小川　泰弘,ヤクルト,10000,投手,4,26,171,80,25,149,22
松井　裕樹,楽天,6500,投手,3,20,174,74,58,47,4
森　唯斗,ソフトバンク,7000,投手,3,24,175,88,56,68,6
菅野　智之,巨人,13000,投手,4,27,186,92,26,156,12
成瀬　善久,ヤクルト,14400,投手,13,30,180,87,22,82,13
西　勇輝,オリックス,12000,投手,8,25,181,80,26,171,4
青山　浩二,楽天,9000,投手,11,33,180,80,50,53,5
石川　雅規,ヤクルト,20000,投手,15,36,167,73,20,126,15
石川　歩,ロッテ,7500,投手,3,28,186,80,23,142,16
増井　浩俊,日本ハム,22000,投手,7,32,181,70,30,71,5
増田　達至,西武,7000,投手,4,28,180,85,53,51,1
則本　昂大,楽天,15000,投手,4,25,178,82,28,192,12
大竹　寛,巨人,10000,投手,15,33,184,92,17,91,6
大野　雄大,中日,10800,投手,6,28,183,78,19,126,11
谷元　圭介,日本ハム,7200,投手,8,31,167,72,58,41,4
中田　賢一,ソフトバンク,9500,投手,12,34,180,82,17,64,9
唐川　侑己,ロッテ,4800,投手,9,27,181,80,15,84,2
藤川　球児,阪神,20000,投手,15,36,184,86,43,58,7
藤浪　晋太郎,阪神,17000,投手,4,22,197,89,26,152,11
内海　哲也,巨人,40000,投手,13,34,186,95,18,104,10
能見　篤史,阪神,14000,投手,12,37,180,73,26,140,17
武田　翔太,ソフトバンク,7000,投手,5,23,186,85,27,163,12
平野　佳寿,オリックス,30000,投手,11,32,186,84,58,44,2
牧田　和久,西武,7500,投手,6,31,177,83,50,54,3
野上　亮磨,西武,5800,投手,8,29,177,76,22,112,10
野村　祐輔,広島,5200,投手,5,27,177,82,25,139,11
涌井　秀章,ロッテ,22000,投手,12,30,185,85,26,195,15
和田　毅,ソフトバンク,40000,投手,10,35,180,81,24,138,22
澤村　拓一,巨人,10000,投手,6,28,184,101,63,60,5
